사업자번호,최종BM점수,최종BM등급,핵심파트너최종점수 ,핵심파트너등급 ,핵심파트너점수,핵심활동최종점수,핵심활동등급,핵심활동점수  ,핵심자원 최종 점수,핵심자원등급 ,핵심자원점수 ,가치제안최종점수,가치제안등급,가치제안점수,마케팅채널최종점수,마케팅채널등급,마케팅채널점수,고객관계최종점수,고객관계등급,고객관계점수,비용구조최종점수,비용구조 등급,비용구조 점수,수익구조최종점수,수익구조 등급,수익구조 점수,고객관계최종점수,고객관계등급
2050,82,A,4,C,6,,B,10,,A,20,,A,8,,A,8,,A,7,,B,7,,B,12,,A
2051,78,B,3,D,5,,C,10,,A,20,,A,8,,A,8,,A,7,,B,6,,C,12,,A
2052,69,B,5,C,2,,E,10,,A,15,,A,8,,A,6,,B,7,,B,4,,C,12,,A
2053,52,C,1,E,5,,C,10,,A,10,,A,3,,D,5,,C,3,,D,4,,C,12,,A
2054,78,B,1,E,5,,C,12,,A,20,,A,8,,A,5,,C,7,,B,4,,C,16,,A
2055,72,B,1,E,8,,A,10,,A,20,,A,5,,C,6,,B,3,,D,7,,B,12,,A
2056,44,C,1,E,2,,E,2,,D,20,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2057,59,C,1,E,5,,C,7,,B,10,,A,8,,A,5,,C,6,,C,6,,C,12,,A
2058,64,B,1,E,6,,B,10,,A,10,,A,3,,D,6,,B,6,,C,6,,C,16,,A
2059,66,B,1,E,5,,C,10,,A,10,,A,8,,A,8,,A,4,,C,4,,C,16,,A
2060,63,B,1,E,5,,C,10,,A,10,,A,6,,B,8,,A,7,,B,4,,C,12,,A
2061,46,C,1,E,5,,C,7,,B,10,,A,3,,D,6,,B,3,,D,3,,D,8,,A
2062,44,C,1,E,6,,B,7,,B,15,,A,2,,E,2,,E,4,,C,3,,D,4,,C
2063,68,B,1,E,6,,B,7,,B,20,,A,5,,C,6,,B,7,,B,3,,D,12,,A
2064,63,B,1,E,5,,C,7,,B,10,,A,6,,B,6,,B,6,,C,6,,C,16,,A
2065,42,C,1,E,6,,B,7,,B,10,,A,3,,D,2,,E,7,,B,1,,E,4,,C
2066,72,B,4,C,6,,B,7,,B,15,,A,6,,B,8,,A,7,,B,6,,C,12,,A
2067,79,B,4,C,5,,C,10,,A,25,,A,5,,C,5,,C,4,,C,1,,E,20,,A
2068,76,B,4,C,6,,B,7,,B,20,,A,8,,A,6,,B,7,,B,1,,E,16,,A
2069,81,A,5,C,6,,B,7,,B,20,,A,6,,B,6,,B,7,,B,3,,D,20,,A
2070,76,B,5,C,5,,C,10,,A,20,,A,8,,A,8,,A,7,,B,6,,C,8,,A
2071,63,B,5,C,5,,C,7,,B,15,,A,5,,C,5,,C,4,,C,1,,E,16,,A
2072,77,B,5,C,6,,B,10,,A,20,,A,2,,E,6,,B,4,,C,4,,C,20,,A
2073,71,B,5,C,5,,C,7,,B,20,,A,5,,C,5,,C,6,,C,3,,D,16,,A
2074,88,A,5,C,6,,B,12,,A,25,,A,6,,B,6,,B,4,,C,3,,D,20,,A
2075,67,B,4,C,5,,C,5,,C,15,,A,8,,A,5,,C,4,,C,1,,E,20,,A
2076,72,B,5,C,5,,C,7,,B,20,,A,8,,A,8,,A,6,,C,6,,C,8,,A
2077,75,B,3,D,6,,B,10,,A,15,,A,8,,A,8,,A,6,,C,7,,B,12,,A
2078,51,C,3,D,6,,B,7,,B,10,,A,3,,D,3,,D,4,,C,1,,E,12,,A
2079,72,B,3,D,6,,B,10,,A,20,,A,5,,C,5,,C,6,,C,6,,C,12,,A
